prompt,response_a,response_b
[INST] Why is it not a requirement for companies to pay dividends? [/INST],"There is no legal requirement for a company to pay dividends in the USA. However, the 1933 Act does require the company to meet certain standards before they can issue shares and sell stock to the public.  This act includes quarterly financial reporting standards and limits to the number of issued shares.  The issue of dividends would therefore fall under these standards as many companies are paying them quarterly too.  I know some companies used to pay dividends annually or semi-annually.  If they don't have a history of quarterly dividends, but the board of directors did declare an annual or semi-annual amount, this would have to appear on the books within six months after the appropriate quarter.  The Board of Directors and company would make other statements within the quarterly financial reports about paying dividends and their plan for this.  If a company chose to pay dividends, the process would be the same. As mentioned in another question, the Board of Directors determine the dividends.  They usually make this decision based on annual or quarterly reports.  There are legal and tax requirements in the USA (most states) that require a certain amount of assets to be available when dividends are declared.  However, even if no funds were available, the Board can still declare dividends with a ""withholding"" that is the amount of the funds that can be used to declare dividends within a time period.  The Board can also change their mind on declaring the dividends.","It is not a requirement, because the shareholders can decide to reinvest their dividends.  That means the company can keep money on their balance sheets instead of pay it out. It also means that if a dividend is paid out, there is a lower amount of free cash available to reinvest in the company or to buyout other businesses.   There's also a balance to be struck to not pay too much in dividends, to keep some in case other investments become available. There is also the need to keep some in case the market falls, because if a stock is priced low and then you pay out a dividend, it could mean the dividend amounts to a fairly large fraction of the share price."
[INST] Why do stock exchanges close at night? [/INST],"Stock exchanges have a long history that reflects how they evolved.  For much of its history, physical brokerages (not electronic exchanges) sold their clients the shares of a particular company for a price of their choice, a process called a ""stock subscription"".  The selling prices were negotiated, the shares traded without any central recordkeeping, and stock was not even transferable (except through the broker) until the late 19th century.  This arrangement could lead to brokers inflating prices through a variety of mechanisms, and it was ripe for corruption and manipulation.  This is why the term ""Wall Street Gangsters"" persists to this day.   The NYSE (and other exchanges like it) were set up to formalize this process.  You can sell shares by submitting an order for a particular price and number of shares to the NYSE.  If your order is matched immediately, the trade is executed.  If it is not matched immediately, the order is entered into the order book, and you will get notified if (and when) your order is matched.  This order book is the ""exchange"" aspect of the stock ""exchange"". Once your order is matched, the NYSE records it as a trade by date, time, buyer, seller, price, and number of shares and updates its records accordingly.  The NYSE does not hold the physical shares themselves, you would not get a physical certificate in the mail or anything like that.  When your order gets matched, the shares are credited to your account, and your broker gets the money.   So, what's the point of the NYSE?  Why use them instead of using our broker?  Well, an important part of modern stock exchanges is that they are required to be as fair and objective as possible, so the NYSE (and other exchanges like it) cannot know or deal in any sensitive financial information or use it in any way other than to guarantee that the trade is executed.  If the NYSE knew or could use this information, it would have a very strong incentive to exploit it to its advantage, and that would ruin the exchange.  Therefore, the exchanges are (and must be) legally bound to only accept order information that can be made public and to execute them according to the terms set by everyone on the exchange. When the financial crisis began in 2007-2008, one of the first steps taken by the government and financial institutions was to create electronic exchanges.  Before then, physical brokerages (like Goldman Sachs) were more prevalent, and you submitted orders to them via telephone, fax, or a messenger.  You could even submit orders in person.  The only reason to accept orders until then was because of the logistics of paperwork.  However, electronic orders could be processed much faster. In general, all that an exchange does is take your order information, process it, and match it against other orders.  All of this would be possible without a central physical location.  This is why there are now multiple electronic exchanges.  They are essentially virtual exchanges; they only have a central website and customer service number.  You could theoretically execute a trade without ever having had any direct contact with them. One disadvantage to electronic exchanges is that there are no physical records of orders to match against.  If another trader believes the exchange has been tampered with, one recourse is to check the physical evidence.  With electronic trading, that is no longer possible.  However, with the advancements in cryptography that have been made throughout the 20th century, a tampered system could be detected.  Additionally, the log files used in trading would be much more secure, and they could theoretically remain the same whether executed electronically or physically (even if physically executed, they still have to be entered electronically eventually).  With electronic exchanges, however, they can never be as secure as they could be with physical records. Now, all of the above is a description of how physical exchanges operate, which is how the first ones were created.  Exchanges (especially electronic ones) have since evolved.  Some exchanges are simply the order book of a particular exchange, and not directly connected with it.  Others do everything from order taking to matching to trading. Many of these exchanges (including electronic ones) allow you to submit order data on their website or electronically, but the stock exchanges (including electronic ones) themselves do not do anything to actually process those trades, but simply maintain the trade information for historical and reference purposes. One of the disadvantages with this is that the orders are not processed until someone else sells or buys your stock at the price you set (i.","The financial district would only be open for so many hours a day. With advances in technology there may well be a point where it is possible to offer continuous trading. However, it is my understanding (forgive me I am not from a background in finance) there are other considerations such as the legal framework under which the exchanges would like to exist. I think it is also a matter of risk. Given the exponential growth in the volume of transactions on the financial market continuous trading could lead to a number of problems. Somewhat related to the discussion about trading on Friday afternoons: http://www.economist.com/node/4491469"
[INST] What is the opposite of a sunk cost? A “sunk gain”? [/INST],"In investing, sunk costs are not really all that relevant. In terms of investments you can look at what a specific investment is, compare it to the rest of your portfolio, compare its price and projected earnings to what you expect of the rest of your portfolio, etc. and make a decision on which would be more profitable.  Sunk costs can also work out in your favor; for example:  You bought some shares in company X from a company that was in trouble, and you got the stock really  cheap because everybody else was selling off their shares. You held on to them after everybody else had given up and sold their shares, and they started to go back up in price.  So, now they're much higher than when you got them. But you're still holding on to them; would it be smart to sell them?   In that scenario it would be better to hold on to those shares and take the gains from them, in terms of the gains, than to sell them now when you could make more gains from them in the future.  If you can, do.","While there are others, I believe you are asking about ""sunken costs"" vs. ""opportunistic costs"". If so, then:  Opportunistic cost refers to the lost business from not taking the contract. You are more familiar with the sunk cost which is the money you have already invested, so you don't walk away when things are not looking good on the profit trail.  In a small business it is very common for an owner to consider the opportunity and the risk that they will regret their choice.  With sunk costs at all times.  At first the sunk costs may be nothing since the business did not make any sales. Once you have a few sales, you may need to rent or build a display area to show off your product - creating additional sunk costs."
[INST] What is a Master Limited Partnership (MLP) & how is it different from plain stock? [/INST],"A Master Limited Partnership or MLP is a special entity created to hold a common interest in the energy business. The MLP shares are divided into units, where each unit being similar to the common stock of the MLP, with the difference that unit is comprised of common stock of the MLP and interest in the real estate of the master limited partnership, thus making the dividends of the MLP partially tax exempt, and allowing the company to deduct in the income tax the percentage of the property that is considered real estate, rather than the entire company.  In addition, MLP shares tend to be more risky than stocks, considering that they are subjected to changes in commodities, changes in the income of the company due to tax deductions and also to variations in the prices of common stocks if this type of business is affected by certain factors. All these considerations are necessary to analyze this type of business for investors looking for stability and high dividends and profits. The MLPs have a complex structure, which is mainly responsible for tax deductions, and it is also very hard to evaluate due to the fact that this type of business changes tax obligations throughout the years.  The MLP structure is mostly a combination of common stock and the tax treatment of partnerships. A master limited partnership consists of two basic components: the partnership and the publicly registered partnership interests traded on a national securities exchange. The entity that creates the partnership is a general partner, which is responsible for the partnership's business activities and operations, while the other group that holds a direct or indirect interest in the partnership is the limited partner, who just invests money without having the same obligations that the general partner has. The MLP is a publicly traded, so it is important to differentiate it from the MBS which is a type of security or financial instrument, whose value is derived from the underlying asset and the income collected.","An MLP is a type of business. An MLP combines a pass through entity with a limited partnership. The pass-through entity is typically a C-Corporation or an LLC taxed as a corporation (S-Corp, Sub S, or L-LCO). If an individual partner in the MLP sells their ownership interest, he/she will owe capital gains tax on the difference between the selling price and purchase price, but will not be subject to self-employment tax. He/she will be subject to self-employment tax on annual distributions of profit.  (For simplicity, let's assume all the partners' ownership interest in the MLP was purchased at the same cost with the same basis.) If the MLP sells an asset that has appreciated in value, the individual partners will owe capital gains tax on their share of the gains. This tax will be in addition to the self-employment tax for the distribution of profit.  The MLP tax incentives are meant to encourage ownership of infrastructure (pipelines, storage tanks, oil wells, etc.), and it provides a tax advantage in certain situations. An individual partner can deduct their share of the losses of the MLP to the extent of their share of the basis against their salary income, but any loss greater than the partner's share of the MLP's at-risk capital will be carried forward to subsequent tax years.  An MLP is attractive to many investors. The tax advantages allow the MLP to pay less in dividends, while the partnership structure lowers their investment risk. This can provide an advantage to an MLP when competing for oil or gas reserves."
[INST] How come we can find stocks with a Price-to-Book ratio less than 1? [/INST],"Book value means ""this is the most liquid asset value of the stock"".  The stock may sell at a price lower than book value when the future earnings of the stock are not worth that book value.","I suspect the reason is to be sought in the financial press and in the actions of analysts and the company in question – the company’s PR people probably want their stocks to look attractive. Price to book value per share is the ratio of market value of a company’s assets to its net shareholder’s equity, or the company’s net worth. Companies generally don’t have negative equity to start with, but it does happen. This is a rare case in which a merger leaves stock market equity exceeding the value of the firm’s balance sheet equity; the former value gets subsumed into the current owners’ stakes in the new company.  If this isn’t what’s happening in this case, the explanation lies elsewhere."
[INST] Why should one only contribute up to the employer's match in a 401(k)? [/INST],"If by ""the match"" you mean 100% (i.e. the employer matches your entire contribution dollar for dollar), then yes you would want to contribute up to the match.    However, in case you mean a less-than-100% match, your situation changes a bit. If your company matches 50% of your contribution, you might want to invest more than the match, but your best move is also dependent on what they do with the ""other"" 50% of your contribution. Many companies will ""put you in the S&P 500"" or something similar, not actually matching your contribution (i.e. your contribution is a transfer to your own retirement account, and the company is investing 50% of those in something else).   If your contributions are going into a retirement account managed by your employer, you may not have much control over the 50%. You may want to call their HR department and ask about this. You should figure out exactly where your contributions are going.","You should also be aware that any gains made in your 401(k) can't be tax-free for another 15 years (age 57 for many, you might be older before you can consider withdrawing what will grow into millions.)  In the meantime, you are missing out on all the money you could be making in a regular account, and you pay a high price (taxes) for investing that money.  Unless you've got that $8,896 in investment that you can put into the 401(k), or that money will go into your 401(k) to reach the matching limit (and you are not already over the regular contribution limit), you should skip the 401(k) and put them into a regular, tax-free savings account (CD, money market, or ETF/index fund).  That will serve you much better in the long run. If you need help on the mechanics of how to invest and make yourself money from this money so you can make it grow faster than inflation, ask in another question."
[INST] Why do banks finance shared construction as mortgages instead of financing it directly and selling the apartments in a building? [/INST],"The banks in Australia are very wary about any type of investment property loans.  We have had the financial collapse in the US that saw the downfall for many banks and investment firms.  Now our banking has become extremely stringent on investment property loans. What is causing the problem is most loan officers are unwilling to have an investment property in their loan portfolio.  Meaning you cant find a loan officer willing take a chance on your construction loan.   If we have a banking officer that is willing to take a chance on what is an unlikely construction loan, their employer is asking ""Does this person have their mortgage license?""  Which means a licensed loan officer can only lend out residential property loans.  Meaning you will have a hard time getting a banking officer who has the correct license to make your construction loan. In short, the banks are unwilling to take investment property loans.","There are a few possible reasons: First is that construction loans are usually quite short term -- a year or less.  During the year, not much equity will have been created.  The bank must foreclose, then take over control of the property and manage it.  Then sell it, often at a loss.  This puts more risk on the loan office's balance sheet, a risk many banks are reluctant to take.  If the bank were to sell shared construction before the year is up, that would require foreclosure.  That would cause them the same problem.  So instead the bank chooses to wait until there is substantially less risk of foreclosure. Another problem of the bank is that the construction must be finished within a year.  This can be hard to do.  For instance, if you get most of the materials and labor, and then you get a loan denial because they said there wasn't enough equity accumulated, that's bad.  You have to get the materials and labor back.  It could be that they have to go back into the market for a cheaper deal, which will take more than a year. Again, you want to have 80% equity after paying for all the materials, labor etc.  (80%, usually the maximum the bank will loan on). So you start with the total cost, and then the bank will loan you 80% of it, and you pay 20% of the cost.  That means you'll need materials and labor worth 25%. So even if they got you a loan, there is no way you could pay for that 25%.  Not right away anyhow, but they expect you to do that.  It would be a waste of their time and resources to loan them money they couldn't pay back. So you just borrow money from them that covers costs and you buy from them.  That would put you way behind in payments, and when it finally went to them, it would likely already be in foreclosure.  This is an expensive practice for the bank, so it costs the borrower money in the end. A third problem is that it would be impractical for the bank to sell the apartments.  That would just create more trouble.  You'd have some apartments rented, and others not.  You'd have some apartments that are up to code, and others not.  You'd have some finished, and some not.  You'd only be able to sell one apartment after another as they finished everything.  That would also be a hassle for the bank to deal with managing all that.  There's a better way. These are just some possible problems I can think of, that may differ from the problems of your loan officer.  Every loan is a little bit different.  Some of these problems could apply to many loans though."
"[INST] Transfer $50k to another person's account (in California, USA) [/INST]","The short version of this answer: Transfer the money between a bank in which both can have their funds in.  (In both banks accounts).  Transfer 25K each into their respective accounts.  If you are in the US go to the nearest check cashing store, and transfer a check between the both of you for $50000.  It is important, if they cash the check - you have the money in the other account.  The check can have either your name or their name.  This should not take much longer than 10 minutes to achieve.  Just sign the back of the check and transfer the funds into their bank account. Alternatively you could have them come here to the bank and fill out the paperwork to cash the check.  (If it is a large enough check I suggest this method).  But if its for a small amount, you could have them open an account here and do the check cashing that way, just know that it will take longer and cost more paperwork. Either way, you should be able to get the funds transferred in about 3-5 business days.","You need to file a gift tax return.  You are allowed to claim a $13,000 exemption per person.   The person cannot cash the check.  They have to transfer their money into their bank account from their checking account."
[INST] Why do put option prices go higher when the underlying stock tanks (drops)? [/INST],"Consider three scenarios as to how you could profit from a sudden drop in price: If you think the drop will be sustained and the price of the underlying stock will not recover for a while, you should take the first step and exercise whatever puts you hold. If you decide to take your profit selling the puts in the market, you can take your money and go home. If you think the sudden drop could be only a short blip in the price of the stock, rather than a turn in a long-term trend, you might want to hold and wait for the price to recover to where it was before the sudden drop.  However, if the drop is only a momentary fluctuation, there is no guarantee that the stock's price will suddenly snap back to where it was even immediately before the drop.  The probability of a sudden rise back up is highest if the price of the underlying stock is moving toward some significant value.  Consider that if you were to exercise the options now, then you'd be taking their intrinsic and time values and converting them into the value of the stock.   What you're seeing is the market giving you a greater chance that the drop will be sustained - and hence that the price of the stock will be lower in the future - by giving you a higher intrinsic value on the puts.   If you do take the first step and exercise as you believe the price will continue to go down, you might be disappointed, because you're locked in at your exercise price no matter what happens later on.    Consider a put option for $20 expiring next month, with the underlying stock trading at $21.  The intrinsic value is $1 and the time value is about $0.40 on your put. You exercise this and get 100 shares. Suddenly the price of the underlying stock goes to $15, and the puts start trading for over a dollar. You might think you've gotten a great deal; you just paid $10 for each share of the stock.  However, because you're locked into that price, consider the fact that if the stock went right back up to $21 immediately the put option would be worthless (assuming your options were American style).  So now if the price of the stock suddenly shoots up - for no reason other than the short lived volatility - you can't take advantage and get a quick profit; you're stuck holding the shares.   Also consider that the option traders don't know the market is likely to go back up, only you do, so they would probably have to be convinced that the market is about to go up before their options would be of any interest to you.  If they think like you do, and the price of the stock still trades at $15, then you could get stuck with your stock, because the puts might be worth a dollar or more, and you'd be spending more than a dollar to get each share of the stock and have no interest in buying it because you believe the stock is heading lower.","The risk of an investor exercising the put option is at an all time low following a drop in the stock price. That lowers the value of the put option and increases the price. If the stock price stays low, the price of the put option will stay high because the probability of exercise is likely to stay high. Suppose the option is worth $0.50 when ABC goes from $20 to $19 a share. Its price would probably decrease if ABC went even lower, in order to discourage investors from exercising the option while the price is at a long term low in the near future.  If ABC goes back up, the probability of exercise decreases as the price increases, the riskier it seems to exercise early, and the cheaper the put option. This is one reason why companies like Google use the put option as a tactic to keep employees from selling too soon after an IPO, and why companies buy back their own shares in order to increase the price of the share in the market. It's also why insiders or those at the company may be tempted to take out put options. Another way of looking at the reason is that a put option provides a hedge as the price of the stock goes down. This hedge may be valuable to those who have already bought shares in the company. The drop in puts when the stock rises is an effect of the increase in probability of exercise. Suppose the put is $0.50 when ABC is at $20, a drop to $19 makes it more likely it will approach or stay below the strike price at later dates. The put option holder may feel he's more likely to exercise, making the put option worth more.  These options aren't free.  When you or someone else exercises the put, the company pays for the shares of ABC that are returned or purchased on your behalf.  The company makes less profit if a high share price forces them to buy a large amount of shares, and loses more money if the stock's price does not rebound. This is sometimes the opposite of a drop in the share price."
[INST] I am the sole owner of an LLC. Does it make a difference if I file as an S-Corp or a sole-member LLC? [/INST],"As JoeTaxpayer's answer indicates, if you are the sole owner of a business there is little gain in forming a corporation in the first place to obtain the liability protection that makes sense in a more typical scenario. On the second question, the big difference between filing as an S-Corp v. a sole member LLC is how the distributions are treated. S-Corp distributions, especially for salaries to the owners, have some tricky IRS rules and guidelines to keep straight. If you choose this entity type, I'd highly recommend getting an accountant to help your with the legal and financial aspects. LLCs are simpler all around as they're more flexible and easier to understand in this regard, and also allow more flexibility. When you elect to pay taxes as an LLC (instead of a corporation), the earnings are simply divided based on the percentage of ownership (meaning that more ownership = more profit). You determine the ownership proportions based how much you've invested or however you otherwise come to an agreement. You have a little more control over your tax filing and the way the business is organized in an LLC, so the paperwork and reporting is more flexible. As such, the LLC has more flexible structures, a different default structure, and the rules regarding entity types varies a bit. So, it can definitely benefit you to select an LLC in this case, but you need to know how those structures are defined before you make your final decision. In the situation you've described in your question, which you can always structure differently if you need, the rules for an LLC are likely more beneficial. A good start would be taking a look at the differences between sole proprietorships, LLCs, and corporations to gain a little knowledge of the concepts. Also, there are specific differences and guidelines for forming an LLC in your state - so be sure to get some legal information there as well before taking that step.","The main issues would be your liability if a creditor or plaintiff got a judgment which exceeded your insurance or your own personal assets. A creditor would be looking to go after the entity, not its controlling members. To protect your personal assets you want liability protection from your corporation which would normally be accomplished via a General Corporation. You need to have it set up so that you can file the Articles of Organization to your state and get the IRS EIN so you are operating correctly. You could save the taxes and set up an S Corporations which allows some of the income to flow to a personal return where you can then offset against ordinary income. Or you could set up a C Corporation which pays its own taxes so some of the income is still tax free, but you end up getting a business income tax return as well as a personal income tax return."
[INST] How can I use hedging strategies to manage my wealth? [/INST],"Hedging is a risk management strategy used by individuals and businesses to minimize potential losses from an undesirable outcome. It is typically used in conjunction with a long position, such as a stock, to reduce the impact of price drops. Hedging can also be used to reduce the impact of currency swings or interest rate changes.

Individuals may use hedging strategies by investing in financial instruments such as futures or derivatives, which are designed to help protect the value of an investment from price fluctuations. These markets allow individuals to sell or buy contracts at a specific price and set time, such that the holder of the contract gains if the value of the underlying asset increases above the strike price, but also takes a loss if there is a decline in value.

Companies may also use hedging strategies to manage their risk. By investing in options or other derivatives, they can ensure that the value of their investment does not drop, thus reducing their future losses. Additionally, businesses might invest in commodity-related futures to manage the risk associated with commodity markets. For example, companies with heavy exposure to oil price swings can buy futures in order to protect against the downside risks associated with a drop in prices.","Hedging strategies are used by investors to offset losses by reducing or eliminating risk. Hedging strategies do not aim to increase profit, but rather to decrease losses that would be incurred through certain positions in the market. Using a hedge, an investor's portfolio will retain the same exposure and overall value, but reduce the potential short-term fluctuation. These strategies are used by individuals and organizations when in the process of investing in securities or commodities. One example of a hedging strategy is selling the securities they have, or short selling, which is the opposite of a buy order. If an investor is invested in many different commodities, they can use shorting of the commodities. There is also put and call options. If an investor buys put options, they gain in value should the underlying commodities move below the purchase price. If instead they opt for call options, they gain in value should the commodity move above.  Options in and of themselves are risky. As is the case with many strategies, there is a level of risk in the implementation of this strategy.  Other types of hedging strategies include buying and holding the securities, or buying options against those securities. These strategies are very complex, and should only be used by those who understand them thoroughly."
[INST] Is there a government-mandated resource that lists the shareholders of a public company? [/INST],"Some information, as to at least part of your question here. You can search the SEC's EDGAR system for a 13D and 13G filing (and a few others that may apply).  However, this is not a comprehensive list, only a subset. There is also an S-1, but the S1 is very rare. In addition, an S-3 can be filed, but the S-3 is a secondary offering, and often not the initial issue. (It also has other reporting requirements.) A filing statement is also often included, to indicate that such a filing was omitted before the IPO.  The key is also looking at the ""period ending.""   I've pulled this filing list from the SEC's website (which is where the SEC collects and disseminates this info about publicly traded companies). http://www.sec.gov/edgar/searchedgar/companysearch.html If you enter your ticker symbol, it'll search for that and pull up all of the securities that that symbol represents.   If there are none returned, you may need to check your symbols, maybe something about the space bar, or the capitalization.  The ticker symbols are NOT case sensitive, and this also searches for the various ""tics"" that are often used by brokers, for example ""EZ-A"" is a ticker for Amazon.Com. http://www.sec.gov/Divisions/investorinfo/marketstructure/stockticker.pdf Other companies use a space, instead of a hyphen, though "" "" also works in a search.  14a is often used for a definitive proxy statement. A 14C is a solicitation only, and requires a 14D being filed in order to confirm a vote. (Thus there is also an 14D/A filling required as a follow up.)  These may also appear in the ""amendments"" section, if the first filing did not contain everything that was required or needed to be added for the specific action. If you click on each item, it'll bring you to a detail page about the filing.  There are separate filing systems for 8K, 10K, etc, that are not part of EDGAR (though some, like Forms 8K, 10Q, 10-K are also part of the system) However, there are more than 100 filing systems that all use the EDGAR system. This is only a small portion of items that are part of a 13D. However, this should give you enough to work with at least, and you can find the rest of the specific information you need if you wish to take this further.","Yes, there is. Many countries have public repositories that, for a nominal fee, you can look up how many shares of a company were sold on a particular day to specific buyers. They are also called Tier II Securities Registries and are used by companies for stock transfer and stock pledges. Some country specific names: U.S. - EDGAR: http://edgar.sec.gov/ Other countries are: France Canada Japan I tried looking into ULTRA and TEDS. These are Tier I registries that contain information about the overall stock allocation for a single company. They are not what you are looking for. I am still researching if they provide information that would meet your stated requirements. Here's another good article about US securities repositories."
[INST] Renters Liability in Case of Liability Claims for Property Damage or Fire [/INST],"Doesn't matter what the insurance coverage is, you should always be covered.  If your landlord has insurance, then the landlord's insurance should pay out unless you specifically get into a bad situation.  If your landlord does not have insurance, then you should be compensated by the company that you have insurance through.  If you have a fire in your apartment and it spreads to the other units, you can easily sue the other tenants that caused the damage and the landlord for damages.  I am a landlord as well but i am also underinsured so hopefully none of my tenants have to pay any more than what they have contracted to pay me to rent the property. I hope this helps.","Homeowners insurance covers the homeowner for liability up to the declared limits of their policy.  You can sue your landlord for damages and collect.  However, your landlord probably only has a couple million in a liability insurance policy, just like you only have a few million dollars in personal assets.  Most liability coverage on homes is ""personal injury.""  This is an injury to a person, usually intentional.  Some examples:   The landlord doesn't really have insurance for fire, water, or casualty damage to the rental property if it is covered under the renter's policy.  However, some landlords do have a renters protection policy if the renter will be charged for damage.  This coverage is in case the renter sues because the renter thinks the landlord isn't properly maintaining the rental property, or that the landlord improperly denied a request to make repairs to the rental property.  The landlord's liability insurer will pay those legal fees, and the renters protection policy pays the renters legal fees.  These fees can be very expensive and may equal or exceed the coverage limits of the renter's liability policy. As for what a judge would do, that depends on whether your damages exceed $25,000.  If it does, then you can sue the landlord for negligence if the landlord was derelict in their duties.  They also must have the money to pay for the damages.  As such, you may want a lawyer anyway to take photos and document your claims.  At the same time file a lawsuit against the landlord."
[INST] How do you measure the value of gold? [/INST],"You can read more about it here: Measuring Gold by Investopedia Gold is a good choice of money because it is liquid, portable, durable, and it never wears out. Gold has a long history as the currency of economies and was the currency by which nations traded because it was universally accepted and easy to trade because it wasn't heavy and took a lot of space.","According to my reading, gold is treated as a commodity.  That is, the value of gold is the price that someone will pay for it now.  That is, gold is ""worth"" whatever people have agreed to exchange for it.   However, a large fraction of gold is used in non-consumption items.  Therefore, the value of an ounce of gold is not always the same number."
[INST] Can a wealthy investor invest in or make a deal with a company before it goes public / IPO? [/INST],"You don't really need to get your company's pre-IPO shares if you have it ""as private company"". You just need to look for the best deal. I mean you can invest in other companies or invest in shares of IPO companies that can have even higher values that your own company.  The market of non-listed stock is smaller. The market of non-IPO company is smaller. Also you are going to need a professional help to value your private company and for the negotiations. So if you really think your company will raise a lot of money after IPO, then I'l highly suggest you to sell it to a bigger and successful company, who can invest more on your product / service development, and get a big money in your pocket.  If you want to do so, then you'll need to find companies who can afford to buy your company, and invest a lot in it. Or you can try and make a partnership, and give them the whole control of it. But this one is not very common for startups, for the fact the owners tend to have problems to give up control. But you have to realize that your company is valuable to you precisely because someone can give you the best deal for it. Or you can get a professional help to buy into other companies. But this is very risky, a lot of people who get out of their job to invest in other companies ended up with nothing or a lot less. But it can be the case that it will increase a lot. It is the same principle. If you don't have a stock company, then you need to invest in more than one stock company as you need money to survive and to have a good rate of return. In other words, you cannot rely only on ONE stock that will give you a very high growth over 20 years to allow to retire. If you have a good stock company, and you have been given high raises, and you are not yet 50. Then it is worth it to look for the best deal.","There is no such thing as a private investment that is a copy of a future publicly traded investment.  At the same time, the fact that a company is publicly traded is not necessarily indicative of how the investment performs.  For example, Facebook was a terrible investment after it was traded publicly.  It took nearly a year to start going up, and even longer to make back the initial investment.  A private investment in Facebook, or in another company that performs the same way as Facebook, could fail altogether before it could go public. Even among publicly traded investments, two of the best ""growth"" stocks of all time (Apple and NVIDIA) barely traded for ten dollars per share when they first started trading publicly. If you were to invest in Facebook at ten times the current price, you would find its valuation in less than a week to be a terrible investment."
[INST] Can rent be added to your salary when applying for a mortgage? [/INST],"Generally, if you could have lived without the rent, you could have been saving to buy the house you now want to live in with that money.  Yes, it is possible to add it into the equation, but it shouldn't be taken as a ""for sure"" because it means there is one more factor that does not belong in the equation.  For every dollar of rent that is deducted, you should save at least a dollar.","Yes, in the general sense you can include rent as income when applying for a mortgage.  However, how this income is counted should be discussed with your mortgage broker / banker in detail.  Some types of income are not counted if they will continue into the future.  For example, if you inherit every 10 months a certain amount of money, that income may be excluded as they could dry up at any time. For rent, as long as you have a renewed or renewable tenancy, the bank will generally assume you will always continue to receive the income.  As such, the bank does not usually consider rent as non-guaranteed income.  However, if you are a paying a fixed and predetermined rent for the duration of your tenancy and the rent paid is less than your estimated mortgage payments, the income is sometimes not counted, this also applies in some circumstances when you're not paying rent to someone else (eg if you were living with your parents). In these cases, you should ensure that the rental property is in your name, as banks may not consider these rental payments as actual rental payments to you, but rather just payments to someone else. In these cases, the bank will consider your property tax, municipal property tax and repair / maintenance costs as a part of your regular housing costs and therefore reduce their estimate of the property value.  If you are not sure, your bank may require you to get an independent appraisal done before approving the mortgage at the higher ratio.  If you are unable to produce the appraisal and your monthly income is low enough to support the down payment, the bank may approve you for the higher ratio mortgage because your debt servicing expenses will be low enough.  Even if you do provide an appraisal and are approved, you might require a more flexible structure for your mortgage in order for the bank to lend to you. The more flexible structures may have higher interest rates, prepayment restrictions or other penalties.  If you do this, the bank will want to see this appraisal and have this included with the other documents you provided."
